Input.victimID,Answer.Q1Url
7215,http://www.wptv.com/dpp/news/region_st_lucie_county/fort_pierce/3-wounded-in-2-fort-pierce-drive-by-shootings-sunday-morning-on-boston-avenue-and-angle-road
11332,http://abclocal.go.com/ktrk/story?section=news/local&id=9313625
7216,http://www.wpbf.com/news/south-florida/treasure-coast-news/suspect-in-fort-pierce-shootings-killed-father-then-self-sheriff-says/-/8882916/21117718/-/xi1bw1z/-/index.html
7238,http://www.myfoxphoenix.com/story/22911493/2013/07/23/police-investigate-deadly-shooting-in-scottsdale
990,http://newsok.com/former-u.s.-grant-basketball-standout-gunned-down-in-apparent-burglary-gone-wrong-in-oklahoma-city/article/3745855
7239,http://ktar.com/?sid=1650448&nid=131
4447,http://www.ar15.com/archive/topic.html?b=1&f=5&t=589522
11366,http://www.wbbjtv.com/news/local/BREAKING-Homicide-at-Lincoln-Courts--230648501.html
7473,http://www.charlestondailymail.com/policebrfs/201307300093
10115,http://www.wlox.com/story/23628156/murdered-mans-family-desperate-for-clues-to-gunmans-identity
1007,http://news.msn.com/us/3-killed-in-kentucky-college-shooting
4480,http://www.cabinet.com/cabinet/cabinetnews/1002644-308/story.html
10133,http://www.wrcbtv.com/story/23640031/neighbor-says-walker-co-man-tried-to-protect-his-daughter-before-b
11407,http://triblive.com/news/adminpage/5019922-74/police-shot-apartment#axzz2n268CQur
7560,http://hattiesburg.wdam.com/news/news/66033-hattiesburg-man-murdered-after-apparent-home-invasion
10200,http://www.ydr.com/ci_23880920/york-shooting-leaves-one-man-dead-saturday
4526,http://raycomgroup.worldnow.com/story/22500763/2nd-man-arrested-in-murder-of-local-businessman
1040,http://usgunviolence.wordpress.com/2013/01/16/killed-boede-paul-fort-hall-id/
1229,http://www.kmov.com/news/crime/Park-Hills-police-investigating-murder-suicide-187679131.html
1252,http://spacecoastdaily.com/2013/01/distraught-palm-bay-man-kills-mother-then-himself/
1098,http://usgunviolence.wordpress.com/2013/01/18/killed-anthony-rongione-philadelphia-pa/
4606,http://mckenziebanner.com/main.asp?SectionID=3&SubSectionID=28&ArticleID=1275
1257,http://bradenton.patch.com/groups/police-and-fire/p/teenager-arrested-in-the-first-homicide-of-the-new-year
1260,http://www.connecttristates.com/news/story.aspx?id=842243#.UqZ-veKncSM
11535,http://www.wfaa.com/news/crime/Three-shot-one-killed-at-Arlington-apartments-231349521.html
11558,http://www.elkharttruth.com/article/20131111/NEWS05/711119953
4771,http://www.kcbd.com/story/22430976/several-injured-and-2-dead-in-concho-county-shooting
1299,http://westbatonrouge.wafb.com/news/news/56525-police-identify-pharmacy-robbery-suspect-shot-officer
11574,http://www.ledger-enquirer.com/2013/11/19/2809256/coroner-phenix-city-officer-died.html
1301,http://www.wafb.com/story/20813022/suspect-arrested-for-execution-style-murder
4782,http://orangeburg.wistv.com/news/news/66713-no-charges-filed-against-man-who-shot-killed-intruder-home
1314,http://usgunviolence.wordpress.com/2013/01/22/killed-justin-heggemeier-hoisington-ks/
1315,http://www.greatbendpost.com/2013/01/23/apparent-homicide-suicide-in-barton-county-tuesday-night/
7675,http://articles.mcall.com/2013-08-07/news/mc-ross-township-pa-shooting-victims-20130807_1_township-planning-commission-zoning-officer-attempted-homicide
3297,http://www.oregonlive.com/portland/index.ssf/2013/03/shooting_at_northeast_portland_1.html
1317,http://www.wlox.com/story/20421432/fight-turns-deadly-near-pass
4819,http://www.mercurynews.com/ci_23336835/san-jose-police-identify-south-san-jose-shooting
1337,http://www.kmph.com/story/20355702/gun-left-at-scene-of
1167,http://www.alamosanews.com/v2_news_articles.php?heading=0&page=72&story_id=28126
1171,http://www.sfgate.com/crime/article/Man-dead-cousin-wounded-in-S-F-shooting-4210740.php
